District Name,Headquarters,Famous For
Ranchi,Ranchi,"State Capital; City of Waterfalls (Hundru, Dassam, Jonha); Heavy Engineering Corp (HEC); Lac Research."
Dhanbad,Dhanbad,"Coal Capital of India; IIT ISM Dhanbad; Jharia Coalfields; Maithon Dam."
Latehar,Latehar,"Netarhat (Queen of Chotanagpur); Betla National Park; Lodh Falls; Magnolia Sunset Point."
East Singhbhum,Jamshedpur,"Jamshedpur (India's 1st Planned Industrial City); Tata Steel; Dalma Elephant Sanctuary."
Deoghar,Deoghar,"Baidyanath Jyotirlinga (Shakti Peeth); Shravani Mela; Trikut Pahar."
Hazaribagh,Hazaribagh,"Hazaribagh National Park; Canary Hill; Isco Rock Art (Prehistoric paintings)."
Giridih,Giridih,"Parasnath Hill (Shikharji) - highest peak in Jharkhand; Usri Falls."
Bokaro,Bokaro,"Bokaro Steel Plant; Lugu Buru Ghantabari (Santhal Heritage site)."
Palamu,Medininagar,"Chero Dynasty Heritage; Palamu Forts; Agriculture heartland."
Dumka,Dumka,"Sub-capital of Jharkhand; Basukinath Temple; Masanjore Dam."
Khunti,Khunti,"Birthplace of Birsa Munda; Panchghagh Falls; Lac production center."
Gumla,Gumla,"Anjan Dham (Birthplace of Hanuman); Navratangarh Fort ruins."
Ramgarh,Ramgarh,"Rajrappa Chhinnamasta Temple; Patratu Valley S-curves."
West Singhbhum,Chaibasa,"Saranda Forest (Seven hundred hills); Mining hub."

